date,open,high,low,close,volume,average
2017/11/4 8:00,302.58,303.15,298.75,299,5466.07,300.87
2017/11/4 9:00,298.75,298.94,293,295.58,13491.12,296.5675
2017/11/4 10:00,295.52,295.74,293,293.59,8813.7,294.4625
2017/11/4 11:00,293.54,295.93,293.23,294.05,3854.518,294.1875
2017/11/4 12:00,294.05,298.02,293.86,298,3214.661,295.9825
2017/11/4 13:00,297.9,298.02,295.3,297.12,2295.379,297.085
2017/11/4 14:00,297.12,299,296.62,297.27,3560.795,297.5025
2017/11/4 15:00,297.3,299.01,297,297.09,3613.707,297.6
2017/11/4 16:00,297.4,298.9,297.19,297.94,1512.661,297.8575
2017/11/4 17:00,297.99,300.42,297.56,299.36,11300.081,298.8325
2017/11/4 18:00,299.36,304,299.3,300.1,6995.467,300.69
2017/11/4 19:00,300.11,300.93,299.8,300.26,4270.797,300.275
2017/11/4 20:00,300.25,302.16,299.96,301.31,3569.185,300.92
2017/11/4 21:00,301.31,301.96,299.9,300.13,5476.72,300.825
2017/11/4 22:00,300.08,301.35,299.9,300.19,4325.861,300.38
2017/11/4 23:00,300.23,300.88,299.9,299.9,3061.512,300.2275
2017/11/5 0:00,299.91,299.99,296.3,296.71,8823.67,298.2275
2017/11/5 1:00,296.73,298.7,296.7,297.8,3426.422,297.4825
2017/11/5 2:00,297.8,298.85,297.8,298.5,3824.905,298.2375
2017/11/5 3:00,298.52,299,298.5,298.5,7421.05,298.63
2017/11/5 4:00,298.97,299.5,298.5,298.6,7269.02,298.8925
2017/11/5 5:00,298.59,298.94,298.5,298.5,7154.99,298.6325
2017/11/5 6:00,298.5,299.38,298.5,298.64,5129.553,298.755
2017/11/5 7:00,298.64,299.51,298.5,299.48,3594.905,299.0325
2017/11/5 8:00,299.45,299.6,298.5,298.5,2204.87,299.0125
2017/11/5 9:00,298.5,299.67,298.5,298.7,2325.666,298.8425
2017/11/5 10:00,298.7,299.8,298.5,298.91,3866.029,298.9775
2017/11/5 11:00,298.85,299.38,298.5,299.19,2509.265,298.98
2017/11/5 12:00,299.2,299.78,298.5,299.05,1424.2,299.1325
2017/11/5 13:00,299.05,299.52,298.78,299.43,1135.401,299.195
2017/11/5 14:00,299.43,300,299.14,299.95,3077.241,299.63
2017/11/5 15:00,299.95,301,298.5,298.9,5119.773,299.5875
2017/11/5 16:00,298.92,299.35,298.5,298.97,2138.229,298.935
2017/11/5 17:00,298.71,298.97,297.9,297.9,5233.977,298.37
2017/11/5 18:00,297.9,298.2,297.9,297.98,3043.048,297.995
2017/11/5 19:00,297.98,299.87,297.8,297.8,5299.522,298.3625
2017/11/5 20:00,297.8,298.16,296.53,297.5,9043.725,297.4975
2017/11/5 21:00,297.5,297.93,295.3,295.49,6357.7,296.555
2017/11/5 22:00,295.48,298,294.13,296.98,6237.527,296.1475
2017/11/5 23:00,296.88,297.04,294.85,295.11,3054.227,295.97
2017/11/6 0:00,295.11,296.58,294.79,295.84,5025.287,295.58
2017/11/6 1:00,296.14,297,294.97,295.21,4551.033,295.83
2017/11/6 2:00,295.32,296,294.99,295.13,5662.959,295.36
2017/11/6 3:00,295.15,296,294.82,295.44,2753.914,295.3525
2017/11/6 4:00,295.26,296.5,294.6,296.31,5360.848,295.6675
2017/11/6 5:00,296.5,297.5,295.33,296.56,4953.819,296.4725
2017/11/6 6:00,296.51,297.19,294.64,295.25,2761.894,295.8975
2017/11/6 7:00,295.63,296.5,292.28,295.63,5641.75,295.01
2017/11/6 8:00,295.38,296.17,293.77,294.38,2947.971,294.925
2017/11/6 9:00,294.36,294.9,293.48,294.41,2300.429,294.2875
2017/11/6 10:00,294.32,294.7,294,294.18,2017.438,294.3
2017/11/6 11:00,294.18,295,292.8,293.01,4163.048,293.7475
2017/11/6 12:00,293.13,293.57,292,292.59,5200.791,292.8225
2017/11/6 13:00,292.65,294.06,292.16,293.9,5262.35,293.1925
2017/11/6 14:00,293.88,295.23,293.79,294.46,3522.768,294.34
2017/11/6 15:00,294.17,295.3,292.25,294.52,2571.801,294.06
2017/11/6 16:00,294.25,296.67,294.12,296.1,6091.735,295.285
2017/11/6 17:00,295.92,296.51,294.4,296.31,3880.467,295.785
2017/11/6 18:00,296.17,299.33,296.15,299.2,7242.09,297.7125
2017/11/6 19:00,299.17,302.49,298.7,300.5,15502.02,300.215
2017/11/6 20:00,300.56,303.97,300.39,303.37,7626.81,302.0725
2017/11/6 21:00,303.23,303.46,300.63,300.98,5854.03,302.075
2017/11/6 22:00,300.98,301,298.1,298.8,5201.738,299.72
2017/11/6 23:00,298.78,310,297.78,303.87,32141.29,302.6075
2017/11/7 0:00,303.87,303.88,299.55,300.26,5929.275,301.89
2017/11/7 1:00,300.27,301.3,298.52,299.53,4892.964,299.905
2017/11/7 2:00,299.51,299.69,298.02,299.61,7205.165,299.2075
2017/11/7 3:00,299.59,302.5,299.54,302.3,7855.97,300.9825
2017/11/7 4:00,302.29,305.73,299.01,299.66,7634.824,301.6725
2017/11/7 5:00,299.54,299.72,298.24,299.25,2901.758,299.1875
2017/11/7 6:00,299.19,299.84,296.01,296.79,5077.204,297.9575
2017/11/7 7:00,296.65,298.99,295.5,296.9,6924.47,297.01
2017/11/7 8:00,296.67,298.26,295.5,296.37,4990.971,296.7
2017/11/7 9:00,296.47,301.01,296.47,299.41,13334.219,298.34
2017/11/7 10:00,299.82,301.63,298.1,300.29,3586.526,299.96
2017/11/7 11:00,300.33,301,298.04,298.47,2906.573,299.46
2017/11/7 12:00,298.33,299.26,297.6,299,2633.808,298.5475
2017/11/7 13:00,299,299.09,297,297.01,3855.93,298.025
2017/11/7 14:00,297.01,298.98,296,298.96,5074.813,297.7375
2017/11/7 15:00,298.7,299.24,297.71,298.73,3518.61,298.595
2017/11/7 16:00,298.7,301,298.41,300.01,2734.2,299.53
2017/11/7 17:00,300.05,300.57,298.55,299.41,3469.782,299.645
2017/11/7 18:00,299.42,300.64,299,300.02,1997.547,299.77
2017/11/7 19:00,300.07,304.2,298.74,302.86,12436.83,301.4675
2017/11/7 20:00,302.97,303.06,293.13,296,18130.77,298.79
2017/11/7 21:00,296,296.63,288.31,289.99,40043.91,292.7325
2017/11/7 22:00,289.95,292.08,287.01,288,22441.26,289.26
2017/11/7 23:00,288,290,286.2,289.9,13606.64,288.525
2017/11/8 0:00,289.89,290,285.01,288.34,13530.4,288.31
2017/11/8 1:00,288.11,292.79,287.31,292.35,8383.82,290.14
2017/11/8 2:00,292.33,292.79,289.46,290.69,7574.8,291.3175
2017/11/8 3:00,290.58,292.68,289.01,290.03,7743.44,290.575
2017/11/8 4:00,290.03,290.03,289,290,5198.326,289.765
2017/11/8 5:00,289.98,293,289.4,292.9,4885.384,291.32
2017/11/8 6:00,292.9,294.37,290.63,291.73,8801.457,292.4075
2017/11/8 7:00,291.56,292.76,289.5,291.42,6027.082,291.31
2017/11/8 8:00,291.39,292.31,290.11,291.56,3599.863,291.3425
2017/11/8 9:00,291.56,294.87,291.5,292.91,6639.292,292.71
2017/11/8 10:00,292.86,293.5,292.03,293.5,8071.38,292.9725
2017/11/8 11:00,293.5,295.37,293.42,294.8,7728.72,294.2725
2017/11/8 12:00,294.9,295.89,294.21,295.84,5205.357,295.21
2017/11/8 13:00,295.89,296.63,295.6,296.45,4976.524,296.1425
2017/11/8 14:00,296.5,297.12,294.2,296.86,4396.106,296.17
2017/11/8 15:00,296.79,296.86,294.2,295.63,3526.585,295.87
2017/11/8 16:00,295.63,297.4,295.3,297.24,3968.294,296.3925
2017/11/8 17:00,297.26,298.3,297.06,298.2,4087.945,297.705
2017/11/8 18:00,297.82,298.88,297.42,298.4,3970.429,298.13
2017/11/8 19:00,298.36,298.88,296.79,298.31,6181.4,298.085
2017/11/8 20:00,298.34,299.34,297.15,297.86,6360.739,298.1725
2017/11/8 21:00,297.73,299.34,297.3,298.91,5433.1,298.32
2017/11/8 22:00,298.75,300.61,298.37,299.34,12578.525,299.2675
2017/11/8 23:00,299.37,301.59,299.09,299.15,7975.842,299.8
2017/11/9 0:00,299.15,299.5,297.89,298.7,7613.3,298.81
2017/11/9 1:00,298.69,303,298.58,303,24283.51,300.8175
2017/11/9 2:00,303,314.81,300,308.42,81987.85,306.5575
2017/11/9 3:00,308.26,315.81,303,313.44,37521.04,310.1275
2017/11/9 4:00,313.28,318.9,310.22,316.66,45658.43,314.765
2017/11/9 5:00,316.7,316.7,308,312.47,15135.6,313.4675
2017/11/9 6:00,312.28,313.14,309.01,309.42,22425.22,310.9625
2017/11/9 7:00,309.48,311.13,307.36,307.5,8549.13,308.8675
2017/11/9 8:00,307.52,309.06,305,309.06,8649.13,307.66
2017/11/9 9:00,309.06,313.1,309.03,310.91,9098.43,310.525
2017/11/9 10:00,311.23,312.27,310.21,310.97,6048.18,311.17
2017/11/9 11:00,311.04,312,307.59,307.69,6543.09,309.58
2017/11/9 12:00,307.59,311.2,307.57,311.01,6812.723,309.3425
2017/11/9 13:00,311,313.72,311,312.99,5916.589,312.1775
2017/11/9 14:00,312.84,313.35,311.11,312.89,4197.18,312.5475
2017/11/9 15:00,312.6,315,312,315,7733.66,313.65
2017/11/9 16:00,314.99,317.6,312.82,314.76,14432.52,315.0425
2017/11/9 17:00,314.62,314.81,311,312,11959.66,313.1075
2017/11/9 18:00,312,314.03,311.27,313.33,5542.27,312.6575
2017/11/9 19:00,313.38,315.16,311,315.13,11724.318,313.6675
2017/11/9 20:00,315.13,319.42,313.93,317.19,19059.27,316.4175
2017/11/9 21:00,317.23,318.63,316.69,317.09,6606.52,317.41
2017/11/9 22:00,316.89,327,316.89,326.3,38424.86,321.77
2017/11/9 23:00,326.3,328.8,320.69,327.17,20629.59,325.74
2017/11/10 0:00,327.19,328.31,322.13,322.13,8224.616,324.94
2017/11/10 1:00,323.85,326.9,322.73,325,7232.545,324.62
2017/11/10 2:00,324.98,327.58,322.67,326.22,5728.18,325.3625
2017/11/10 3:00,326.22,327.27,324.02,325.39,6959.136,325.725
2017/11/10 4:00,325.38,326.71,324,324.37,7323.783,325.115
2017/11/10 5:00,324.5,325.12,319.41,319.9,9663.519,322.2325
2017/11/10 6:00,319.87,319.97,316.37,317.54,15450.54,318.4375
2017/11/10 7:00,317.5,322,316.1,319.52,8701.919,318.78
2017/11/10 8:00,319.52,320.22,317.01,320,5931.28,319.1875
2017/11/10 9:00,319.99,319.99,317.4,318.99,4902.757,319.0925
2017/11/10 10:00,318.99,319.2,316.82,317.74,6101.211,318.1875
2017/11/10 11:00,317.75,319.09,316.83,318.25,4305.544,317.98
2017/11/10 12:00,318.51,319.49,317.99,318,4616.527,318.4975
2017/11/10 13:00,318,318.12,316.02,316.79,7208.06,317.2325
2017/11/10 14:00,317.03,317.63,316,317.62,7948.43,317.07
2017/11/10 15:00,317.63,317.69,314,314.76,11421.23,316.02
2017/11/10 16:00,314.72,316.79,312.57,316.3,11059.435,315.095
2017/11/10 17:00,316.37,319.4,315.88,316.54,7777.86,317.0475
2017/11/10 18:00,316.98,321.9,316.58,321.9,7272.34,319.34
2017/11/10 19:00,321.9,324.03,311,311.93,28737.14,317.215
2017/11/10 20:00,311.51,314.98,303.63,304.18,23957.26,308.575
2017/11/10 21:00,304.24,308,302.92,306.22,17181.13,305.345
2017/11/10 22:00,306.21,306.27,302.71,302.82,12200.73,304.5025
2017/11/10 23:00,302.71,304.97,302.35,303,15052.76,303.2575
2017/11/11 0:00,303.28,304.04,302.36,302.95,7791.56,303.1575
2017/11/11 1:00,302.95,303.38,296.54,299.35,27380.96,300.555
2017/11/11 2:00,299.55,299.55,286,288.98,29555.89,293.52
2017/11/11 3:00,288.98,296.28,286.96,296.04,40887.31,292.065
2017/11/11 4:00,296.01,296.19,290.54,293.12,25914.5,293.965
2017/11/11 5:00,292.76,299.5,292.4,298.91,25745.5,295.8925
2017/11/11 6:00,299,303.33,298.65,300.39,13257.26,300.3425
2017/11/11 7:00,300.31,300.36,293.58,296.18,9880.96,297.6075
