date,open,close,high,low,volume,average,barCount
2019-07-01 06:00:00,26816.0,26840.0,26862.0,26791.0,3681,26835.86666666667,2269
2019-07-01 06:15:00,26842.0,26837.0,26848.0,26827.0,917,26836.16,458
2019-07-01 06:30:00,26837.0,26816.0,26840.0,26812.0,896,26824.49333333333,452
2019-07-01 06:45:00,26816.0,26820.0,26826.0,26810.0,485,26817.39333333333,261
2019-07-01 07:00:00,26820.0,26816.0,26826.0,26813.0,296,26822.226666666666,174
2019-07-01 07:15:00,26817.0,26814.0,26820.0,26812.0,241,26816.533333333336,132
2019-07-01 07:30:00,26814.0,26807.0,26819.0,26800.0,791,26808.09333333333,366
2019-07-01 07:45:00,26808.0,26812.0,26812.0,26801.0,516,26807.89333333333,277
2019-07-01 08:00:00,26812.0,26803.0,26812.0,26796.0,1098,26803.63333333334,601
2019-07-01 08:15:00,26805.0,26786.0,26806.0,26784.0,1034,26795.30666666666,523
2019-07-01 08:30:00,26786.0,26770.0,26789.0,26766.0,1480,26775.89333333333,717
2019-07-01 08:45:00,26771.0,26762.0,26777.0,26747.0,1057,26766.586666666666,621
2019-07-01 09:00:00,26763.0,26787.0,26793.0,26763.0,1335,26781.04,755
2019-07-01 09:15:00,26787.0,26786.0,26787.0,26768.0,733,26779.173333333336,469
2019-07-01 09:30:00,26785.0,26775.0,26785.0,26765.0,825,26773.153333333332,493
2019-07-01 09:45:00,26774.0,26788.0,26788.0,26759.0,857,26778.32666666667,571
2019-07-01 10:00:00,26788.0,26804.0,26808.0,26788.0,896,26795.07333333333,534
2019-07-01 10:15:00,26804.0,26799.0,26807.0,26798.0,454,26801.84,270
2019-07-01 10:30:00,26799.0,26794.0,26801.0,26792.0,421,26796.53333333333,229
2019-07-01 10:45:00,26794.0,26800.0,26802.0,26793.0,242,26797.45333333333,153
2019-07-01 11:00:00,26800.0,26796.0,26801.0,26794.0,209,26796.74,134
2019-07-01 11:15:00,26796.0,26791.0,26799.0,26790.0,229,26795.48666666667,136
2019-07-01 11:30:00,26791.0,26800.0,26800.0,26791.0,322,26795.97333333333,172
2019-07-01 11:45:00,26800.0,26807.0,26810.0,26799.0,360,26804.213333333337,175
2019-07-01 12:00:00,26808.0,26808.0,26811.0,26804.0,508,26807.926666666666,252
2019-07-01 12:15:00,26808.0,26806.0,26812.0,26802.0,506,26807.12000000001,245
2019-07-01 12:30:00,26805.0,26813.0,26815.0,26804.0,289,26811.28666666667,183
2019-07-01 12:45:00,26815.0,26819.0,26824.0,26813.0,544,26818.086666666666,284
2019-07-01 13:00:00,26819.0,26837.0,26838.0,26816.0,1163,26827.426666666666,549
2019-07-01 13:15:00,26836.0,26845.0,26847.0,26832.0,674,26839.200000000004,364
2019-07-01 13:30:00,26844.0,26851.0,26855.0,26839.0,879,26847.33333333333,448
2019-07-01 13:45:00,26851.0,26861.0,26868.0,26848.0,1201,26856.58666666667,570
2019-07-01 14:00:00,26862.0,26866.0,26869.0,26847.0,1326,26858.66,700
2019-07-01 14:15:00,26865.0,26877.0,26878.0,26862.0,1087,26870.9,542
2019-07-01 14:30:00,26878.0,26867.0,26879.0,26863.0,661,26870.46,339
2019-07-01 14:45:00,26867.0,26868.0,26873.0,26866.0,505,26869.1,248
2019-07-01 15:00:00,26868.0,26881.0,26892.0,26865.0,2169,26880.726666666666,1086
2019-07-01 15:15:00,26881.0,26866.0,26881.0,26863.0,1166,26870.13333333333,634
2019-07-01 15:30:00,26866.0,26891.0,26896.0,26863.0,1248,26875.186666666665,610
2019-07-01 15:45:00,26891.0,26864.0,26891.0,26860.0,1148,26877.266666666666,591
2019-07-01 16:00:00,26864.0,26856.0,26872.0,26852.0,1438,26861.54666666668,787
2019-07-01 16:15:00,26856.0,26860.0,26869.0,26850.0,1253,26859.44666666667,697
2019-07-01 16:30:00,26860.0,26868.0,26869.0,26853.0,852,26861.599999999995,481
2019-07-01 16:45:00,26868.0,26863.0,26873.0,26859.0,727,26866.74,384
2019-07-01 17:00:00,26863.0,26850.0,26871.0,26847.0,943,26860.94,486
2019-07-01 17:15:00,26850.0,26853.0,26853.0,26842.0,683,26847.36,404
2019-07-01 17:30:00,26853.0,26863.0,26869.0,26852.0,598,26862.03333333333,306
2019-07-01 17:45:00,26862.0,26861.0,26874.0,26860.0,517,26866.78666666667,282
2019-07-01 18:00:00,26861.0,26872.0,26873.0,26858.0,546,26867.32,279
2019-07-01 18:15:00,26873.0,26881.0,26889.0,26872.0,802,26879.51333333333,403
2019-07-01 18:30:00,26880.0,26872.0,26884.0,26871.0,499,26878.026666666665,264
2019-07-01 18:45:00,26872.0,26865.0,26875.0,26864.0,465,26870.01333333333,239
2019-07-01 19:00:00,26865.0,26846.0,26866.0,26837.0,1726,26847.74,910
2019-07-01 19:15:00,26846.0,26847.0,26849.0,26840.0,475,26844.406666666666,249
2019-07-01 19:30:00,26846.0,26852.0,26856.0,26845.0,478,26849.286666666663,302
2019-07-01 19:45:00,26853.0,26847.0,26857.0,26846.0,456,26850.97333333333,256
2019-07-01 20:00:00,26847.0,26857.0,26863.0,26844.0,1285,26856.64666666667,565
2019-07-01 20:15:00,26857.0,26869.0,26872.0,26851.0,925,26860.12666666667,450
2019-07-01 20:30:00,26869.0,26860.0,26872.0,26860.0,695,26865.48666666667,378
2019-07-01 20:45:00,26860.0,26854.0,26867.0,26849.0,914,26855.62666666667,469
2019-07-01 21:00:00,26854.0,26864.0,26865.0,26852.0,939,26858.14000000001,487
2019-07-01 21:15:00,26864.0,26864.0,26877.0,26860.0,1742,26865.93333333333,870
2019-07-01 21:30:00,26865.0,26859.0,26889.0,26839.0,14693,26864.026666666665,7366
2019-07-01 21:45:00,26859.0,26826.0,26867.0,26810.0,9364,26824.653333333332,4877
2019-07-01 22:00:00,26830.0,26824.0,26854.0,26814.0,6782,26836.93333333333,3685
2019-07-01 22:15:00,26823.0,26771.0,26837.0,26766.0,8147,26804.59333333333,4061
2019-07-01 22:30:00,26771.0,26785.0,26790.0,26738.0,8224,26767.26000000001,3790
2019-07-01 22:45:00,26785.0,26775.0,26793.0,26764.0,4395,26778.03333333333,2246
2019-07-01 23:00:00,26776.0,26746.0,26789.0,26745.0,4976,26764.48,2458
2019-07-01 23:15:00,26746.0,26713.0,26766.0,26711.0,5428,26739.61333333333,2789
2019-07-01 23:30:00,26712.0,26727.0,26762.0,26712.0,5560,26742.02,2575
2019-07-01 23:45:00,26728.0,26723.0,26739.0,26716.0,3813,26725.97333333333,1886
2019-07-02 00:00:00,26723.0,26725.0,26731.0,26708.0,3014,26720.14000000001,1510
2019-07-02 00:15:00,26725.0,26696.0,26727.0,26686.0,4514,26701.77333333333,1997
2019-07-02 00:30:00,26697.0,26696.0,26704.0,26688.0,3402,26693.853333333336,1507
2019-07-02 00:45:00,26695.0,26668.0,26699.0,26660.0,4079,26680.9,1923
2019-07-02 01:00:00,26669.0,26652.0,26689.0,26638.0,7592,26669.94,3223
2019-07-02 01:15:00,26653.0,26659.0,26660.0,26628.0,5156,26644.386666666665,2426
2019-07-02 01:30:00,26658.0,26647.0,26660.0,26636.0,3522,26649.0,1722
2019-07-02 01:45:00,26646.0,26658.0,26660.0,26644.0,2066,26651.086666666673,1099
2019-07-02 02:00:00,26658.0,26634.0,26661.0,26611.0,4460,26630.76666666667,2084
2019-07-02 02:15:00,26633.0,26614.0,26635.0,26609.0,2957,26621.92,1538
2019-07-02 02:30:00,26614.0,26633.0,26638.0,26611.0,2919,26627.059999999994,1431
2019-07-02 02:45:00,26634.0,26629.0,26649.0,26628.0,3116,26637.026666666665,1502
2019-07-02 03:00:00,26629.0,26681.0,26684.0,26626.0,4659,26653.97333333333,2125
2019-07-02 03:15:00,26681.0,26683.0,26697.0,26677.0,4188,26685.29333333333,1871
2019-07-02 03:30:00,26684.0,26696.0,26711.0,26684.0,4962,26694.98,2244
2019-07-02 03:45:00,26696.0,26711.0,26719.0,26683.0,9959,26700.54,4230
2019-07-02 04:00:00,26711.0,26705.0,26713.0,26690.0,3437,26702.066666666666,1395
2019-07-02 04:30:00,26705.0,26700.0,26711.0,26698.0,700,26703.166666666664,269
2019-07-02 04:45:00,26699.0,26699.0,26704.0,26695.0,633,26699.77333333333,266
2019-07-02 06:00:00,26695.0,26688.0,26703.0,26683.0,431,26690.386666666665,271
2019-07-02 06:15:00,26686.0,26641.0,26686.0,26631.0,856,26675.04666666667,525
2019-07-02 06:30:00,26640.0,26661.0,26672.0,26640.0,693,26659.066666666666,427
2019-07-02 06:45:00,26662.0,26660.0,26670.0,26658.0,222,26662.846666666668,122
2019-07-02 07:00:00,26660.0,26658.0,26665.0,26649.0,281,26657.84,178
2019-07-02 07:15:00,26659.0,26663.0,26665.0,26659.0,103,26662.366666666665,61
2019-07-02 07:30:00,26665.0,26660.0,26665.0,26658.0,121,26661.95333333333,77
2019-07-02 07:45:00,26658.0,26670.0,26672.0,26640.0,757,26663.51333333333,445
2019-07-02 08:00:00,26671.0,26692.0,26694.0,26667.0,898,26680.779999999995,516
2019-07-02 08:15:00,26693.0,26691.0,26700.0,26685.0,405,26693.49333333333,278
2019-07-02 08:30:00,26691.0,26691.0,26693.0,26679.0,460,26685.35333333333,256
2019-07-02 08:45:00,26690.0,26700.0,26707.0,26685.0,692,26695.39333333333,379
2019-07-02 09:00:00,26700.0,26698.0,26708.0,26695.0,463,26700.79333333333,285
2019-07-02 09:15:00,26700.0,26701.0,26715.0,26696.0,716,26707.16666666667,407
2019-07-02 09:30:00,26700.0,26724.0,26727.0,26693.0,958,26711.853333333336,597
2019-07-02 09:45:00,26725.0,26721.0,26733.0,26719.0,818,26725.006666666664,493
2019-07-02 10:00:00,26721.0,26709.0,26730.0,26708.0,545,26717.566666666666,337
2019-07-02 10:15:00,26708.0,26717.0,26724.0,26707.0,406,26717.11333333333,242
2019-07-02 10:30:00,26718.0,26714.0,26722.0,26707.0,304,26714.78666666667,196
2019-07-02 10:45:00,26714.0,26720.0,26721.0,26712.0,205,26716.85333333333,129
2019-07-02 11:00:00,26719.0,26708.0,26721.0,26702.0,582,26712.07333333333,323
2019-07-02 11:15:00,26707.0,26718.0,26721.0,26704.0,249,26713.16,162
2019-07-02 11:30:00,26718.0,26719.0,26719.0,26714.0,239,26716.76,117
2019-07-02 11:45:00,26719.0,26727.0,26730.0,26718.0,306,26723.09333333333,155
2019-07-02 12:00:00,26726.0,26733.0,26736.0,26724.0,410,26728.55333333333,204
2019-07-02 12:15:00,26733.0,26727.0,26733.0,26725.0,208,26728.340000000004,125
2019-07-02 12:30:00,26725.0,26733.0,26736.0,26722.0,439,26729.42,256
2019-07-02 12:45:00,26733.0,26732.0,26735.0,26725.0,238,26730.226666666666,121
2019-07-02 13:00:00,26731.0,26717.0,26736.0,26715.0,423,26723.840000000004,250
2019-07-02 13:15:00,26717.0,26711.0,26719.0,26708.0,468,26714.12000000001,263
2019-07-02 13:30:00,26713.0,26714.0,26715.0,26705.0,415,26709.42666666667,222
2019-07-02 13:45:00,26713.0,26713.0,26718.0,26710.0,293,26714.04666666667,166
2019-07-02 14:00:00,26714.0,26724.0,26727.0,26713.0,583,26722.85333333333,319
2019-07-02 14:15:00,26724.0,26731.0,26732.0,26723.0,454,26727.566666666666,223
2019-07-02 14:30:00,26732.0,26732.0,26736.0,26731.0,253,26733.71333333333,129
2019-07-02 14:45:00,26733.0,26726.0,26735.0,26725.0,396,26730.44666666666,200
2019-07-02 15:00:00,26728.0,26691.0,26733.0,26691.0,1411,26705.57333333333,783
2019-07-02 15:15:00,26692.0,26682.0,26698.0,26680.0,944,26688.75333333333,509
2019-07-02 15:30:00,26682.0,26687.0,26705.0,26679.0,1166,26689.25333333333,481
2019-07-02 15:45:00,26687.0,26675.0,26688.0,26674.0,1356,26681.68,632
2019-07-02 16:00:00,26676.0,26652.0,26679.0,26647.0,1319,26667.48666666666,678
2019-07-02 16:15:00,26652.0,26656.0,26660.0,26650.0,763,26654.48666666667,408
2019-07-02 16:30:00,26657.0,26645.0,26662.0,26638.0,987,26653.13333333334,475
2019-07-02 16:45:00,26644.0,26658.0,26663.0,26641.0,705,26654.7,381
2019-07-02 17:00:00,26659.0,26667.0,26670.0,26647.0,825,26658.71333333333,408
2019-07-02 17:15:00,26668.0,26665.0,26673.0,26661.0,644,26667.173333333336,299
2019-07-02 17:30:00,26665.0,26666.0,26674.0,26662.0,494,26668.346666666668,263
2019-07-02 17:45:00,26666.0,26654.0,26676.0,26651.0,1214,26660.93333333333,634
2019-07-02 18:00:00,26654.0,26664.0,26669.0,26646.0,605,26657.36,348
2019-07-02 18:15:00,26664.0,26681.0,26682.0,26664.0,604,26673.31333333333,340
2019-07-02 18:30:00,26681.0,26680.0,26685.0,26676.0,384,26680.206666666665,212
2019-07-02 18:45:00,26679.0,26670.0,26683.0,26664.0,693,26674.366666666665,348
2019-07-02 19:00:00,26671.0,26675.0,26683.0,26670.0,669,26675.766666666666,323
2019-07-02 19:15:00,26676.0,26662.0,26676.0,26658.0,589,26665.46666666667,284
2019-07-02 19:30:00,26662.0,26670.0,26670.0,26657.0,514,26664.28666666667,256
2019-07-02 19:45:00,26670.0,26673.0,26678.0,26669.0,462,26673.71333333333,227
2019-07-02 20:00:00,26672.0,26674.0,26685.0,26668.0,409,26673.986666666675,252
2019-07-02 20:15:00,26674.0,26670.0,26681.0,26669.0,450,26673.68666666666,263
2019-07-02 20:30:00,26670.0,26680.0,26684.0,26670.0,543,26678.626666666663,303
2019-07-02 20:45:00,26680.0,26669.0,26681.0,26658.0,1099,26672.20666666667,540
2019-07-02 21:00:00,26669.0,26678.0,26681.0,26668.0,559,26677.09333333333,294
2019-07-02 21:15:00,26680.0,26688.0,26694.0,26679.0,1162,26685.46,582
2019-07-02 21:30:00,26689.0,26671.0,26697.0,26630.0,13174,26661.61333333333,6348
2019-07-02 21:45:00,26672.0,26646.0,26680.0,26639.0,7621,26656.55333333333,3602
2019-07-02 22:00:00,26646.0,26667.0,26676.0,26641.0,5908,26664.493333333336,2833
2019-07-02 22:15:00,26668.0,26723.0,26724.0,26660.0,6348,26680.75333333333,2852
2019-07-02 22:30:00,26724.0,26706.0,26741.0,26706.0,7939,26722.52666666667,3283
2019-07-02 22:45:00,26705.0,26729.0,26733.0,26698.0,5292,26718.06,2177
2019-07-02 23:00:00,26729.0,26709.0,26738.0,26708.0,3996,26722.526666666665,1700
2019-07-02 23:15:00,26708.0,26702.0,26721.0,26691.0,4303,26705.766666666666,1834
2019-07-02 23:30:00,26701.0,26670.0,26705.0,26657.0,7356,26682.826666666664,2928
2019-07-02 23:45:00,26671.0,26697.0,26699.0,26666.0,3435,26688.35333333333,1459
2019-07-03 00:00:00,26697.0,26686.0,26703.0,26679.0,3811,26689.79333333333,1553
2019-07-03 00:15:00,26684.0,26648.0,26698.0,26641.0,4505,26681.54,1924
2019-07-03 00:30:00,26648.0,26644.0,26659.0,26621.0,5670,26643.11333333333,2478
2019-07-03 00:45:00,26644.0,26663.0,26668.0,26643.0,1930,26655.54,1022
2019-07-03 01:00:00,26664.0,26678.0,26687.0,26650.0,3354,26671.766666666666,1509
2019-07-03 01:15:00,26678.0,26693.0,26695.0,26677.0,1896,26686.96000000001,894
2019-07-03 01:30:00,26694.0,26698.0,26707.0,26683.0,3311,26697.46666666667,1395
