date,open,close,high,low
2005-06-30 10:00:00,14286.0,14284.0,14298.0,14265.0
2005-06-30 10:15:00,14286.0,14286.0,14305.0,14266.0
2005-06-30 10:30:00,14304.0,14270.0,14304.0,14266.0
2005-06-30 10:45:00,14267.0,14298.0,14298.0,14264.0
2005-06-30 11:00:00,14280.0,14281.0,14300.0,14265.0
2005-06-30 11:15:00,14282.0,14285.0,14296.0,14262.0
2005-06-30 11:30:00,14285.0,14277.0,14299.0,14267.0
2005-06-30 11:45:00,14274.0,14306.0,14311.0,14273.0
2005-06-30 12:00:00,14303.0,14296.0,14308.0,14274.0
2005-06-30 12:15:00,14299.0,14287.0,14307.0,14275.0
2005-06-30 14:30:00,14286.0,14267.0,14304.0,14233.0
2005-06-30 14:45:00,14264.0,14190.0,14265.0,14179.0
2005-06-30 15:00:00,14192.0,14169.0,14210.0,14152.0
2005-06-30 15:15:00,14163.0,14183.0,14197.0,14156.0
2005-06-30 15:30:00,14200.0,14176.0,14202.0,14154.0
2005-06-30 15:45:00,14166.0,14169.0,14202.0,14153.0
2005-07-04 10:00:00,14147.0,14130.0,14187.0,14123.0
2005-07-04 10:15:00,14126.0,14162.0,14167.0,14126.0
2005-07-04 10:30:00,14162.0,14164.0,14171.0,14155.0
2005-07-04 10:45:00,14163.0,14179.0,14186.0,14156.0
2005-07-04 11:00:00,14179.0,14172.0,14180.0,14167.0
2005-07-04 11:15:00,14168.0,14169.0,14179.0,14164.0
2005-07-04 11:30:00,14166.0,14169.0,14174.0,14162.0
2005-07-04 11:45:00,14169.0,14162.0,14170.0,14156.0
2005-07-04 12:00:00,14160.0,14174.0,14174.0,14159.0
2005-07-04 12:15:00,14171.0,14161.0,14178.0,14158.0
2005-07-04 14:30:00,14160.0,14149.0,14161.0,14138.0
2005-07-04 14:45:00,14148.0,14143.0,14148.0,14133.0
2005-07-04 15:00:00,14143.0,14152.0,14157.0,14135.0
2005-07-04 15:15:00,14155.0,14147.0,14162.0,14140.0
2005-07-04 15:30:00,14146.0,14147.0,14150.0,14134.0
2005-07-04 15:45:00,14143.0,14179.0,14186.0,14138.0
2005-07-05 10:00:00,14164.0,14103.0,14164.0,14102.0
2005-07-05 10:15:00,14104.0,14115.0,14121.0,14100.0
2005-07-05 10:30:00,14117.0,14133.0,14133.0,14116.0
